,Speed,TimeSinceLast,DistinctIds,VideoForumThreads,DurationOfVideoActivity,SelectiveNumOfEvents,ProblemID,UserID,SubmissionNumber
1938,665.0,1995.0,1.0,0.0,1470.0,11.0,11,1e32fea29d29d10a5a72a8cb2feb27ea,6
1939,66.1666666667,397.0,0.0,11.0,0.0,0.0,11,cb8a86d930e04d2e46c7c68162c37a0e,7
1940,34.1666666667,205.0,0.0,4.0,0.0,0.0,11,cb8a86d930e04d2e46c7c68162c37a0e,8
1941,62.8333333333,377.0,0.0,2.0,0.0,0.0,11,cb8a86d930e04d2e46c7c68162c37a0e,9
1942,37.1666666667,223.0,0.0,6.0,0.0,0.0,11,cb8a86d930e04d2e46c7c68162c37a0e,10
1943,43.8333333333,263.0,0.0,8.0,0.0,0.0,11,cb8a86d930e04d2e46c7c68162c37a0e,11
1944,120.666666667,362.0,0.0,11.0,0.0,0.0,11,61d60a6987d8adac0277f81e03f3d088,5
1945,115.0,345.0,0.0,3.0,0.0,0.0,11,61d60a6987d8adac0277f81e03f3d088,7
1946,67.4285714286,472.0,0.0,4.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,6
1947,82.0,574.0,0.0,4.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,8
1948,83.4285714286,584.0,0.0,4.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,9
1949,67.1428571429,470.0,0.0,2.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,15
1950,66.0,462.0,0.0,8.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,16
1951,90.7142857143,635.0,0.0,16.0,0.0,0.0,11,86097424b2bdc57f969d9096924d4232,22
1952,712.5,1425.0,0.0,9.0,0.0,0.0,11,2f442f9568957d49e8255e45752b135b,5
1953,1135.0,3405.0,0.0,3.0,0.0,0.0,11,5cec6b250f8e600b5ea5a9647886967d,8
1954,108.666666667,326.0,0.0,3.0,0.0,0.0,11,5cec6b250f8e600b5ea5a9647886967d,12
1955,193.333333333,580.0,0.0,14.0,0.0,0.0,11,fe8e101eadc2d1722e1478ae98ca755c,2
1956,144.666666667,434.0,0.0,7.0,0.0,0.0,11,fe8e101eadc2d1722e1478ae98ca755c,4
1957,142.0,426.0,0.0,5.0,0.0,0.0,11,55ff5aa02bd1a64ae0807aa9272af1aa,4
1958,54.3333333333,163.0,0.0,1.0,0.0,0.0,11,55ff5aa02bd1a64ae0807aa9272af1aa,10
1959,304391.5,608783.0,4.0,0.0,250735.0,46.0,11,c08cf4762121f909ba0e75a968391fee,1
1960,693.666666667,2081.0,0.0,7.0,0.0,0.0,11,0582a8a2b674d39f6984a73a5cd74470,6
1961,204.666666667,614.0,0.0,1.0,0.0,0.0,11,0582a8a2b674d39f6984a73a5cd74470,7
1962,184.0,552.0,0.0,6.0,0.0,0.0,11,69caa860934ef7f3d4e7a889c22a37d5,7
1963,1885.0,5655.0,0.0,35.0,0.0,0.0,11,69caa860934ef7f3d4e7a889c22a37d5,21
1964,381.0,762.0,0.0,8.0,0.0,0.0,11,8ea340e06a8006a0d15364e3bc2496e6,1
1965,918.0,1836.0,0.0,6.0,0.0,0.0,11,1d0efc5557a36552331fc35271291eec,4
1966,2032.5,4065.0,0.0,8.0,0.0,0.0,11,17b46a6f879253c70ea7aaba260f417c,1
1967,496.0,992.0,0.0,3.0,0.0,0.0,11,95a8908e60888df3c52d999a3977d595,1
1968,369.5,739.0,0.0,5.0,0.0,0.0,11,6cc85dc4544afacac68348360b9874e7,1
1969,13869.0,27738.0,0.0,31.0,0.0,0.0,11,4485085c31faa6b875934fe737f60ca7,7
1970,151.0,604.0,0.0,12.0,0.0,0.0,11,2ec2d010aa76cb29d4f81593e29d3061,5
1971,86.25,345.0,0.0,2.0,0.0,0.0,11,2ec2d010aa76cb29d4f81593e29d3061,6
1972,343.25,1373.0,0.0,18.0,0.0,0.0,11,2ec2d010aa76cb29d4f81593e29d3061,8
1973,558.333333333,1675.0,0.0,14.0,0.0,0.0,11,6d1ed3d3402f6bf382754114d19a38d1,3
1974,53713.0,161139.0,0.0,31.0,0.0,0.0,11,6d1ed3d3402f6bf382754114d19a38d1,4
1975,106.0,212.0,0.0,6.0,0.0,0.0,11,92a1987c9c730455ea09221be446d008,1
1976,200.5,401.0,0.0,9.0,0.0,0.0,11,3c7ff52084414b05c7fd10b9b6a5c11d,14
1977,730.0,2920.0,0.0,1.0,0.0,0.0,11,c2edf8daeda62ae4e3db61575a79537f,12
1978,553.75,2215.0,0.0,8.0,0.0,0.0,11,c2edf8daeda62ae4e3db61575a79537f,18
1979,117.5,470.0,0.0,9.0,0.0,0.0,11,c2edf8daeda62ae4e3db61575a79537f,20
1980,759.0,1518.0,0.0,4.0,0.0,0.0,11,14e75a826cdc3fdd4681d931df7f2cb1,8
1981,926.5,1853.0,0.0,12.0,0.0,0.0,11,3f8ca575de71803b808410ff8ea4dd92,1
1982,167257.5,334515.0,0.0,18.0,0.0,0.0,12,98ecc1ebfe4cc47d9968b03cddb630e0,2
1983,952519.0,1905038.0,7.0,114.0,769299.0,96.0,12,24af31e0682a0d1bdf39eea17760cb6c,1
1984,191.5,383.0,0.0,2.0,0.0,0.0,12,2c27d7f0a1e2d2adf93799480bb915a6,4
1985,110362.0,220724.0,0.0,438.0,0.0,0.0,12,532301b346e4a8f1326b5e3286fb51f1,1
